Formula,Query Result,Total Evaluation Time
Angiogenesis-PT-05-CTLCardinality-0,TRUE,6.685
Angiogenesis-PT-05-CTLCardinality-9,TRUE,376.544
Angiogenesis-PT-05-CTLCardinality-10,TRUE,15642.5
Angiogenesis-PT-05-CTLCardinality-11,FALSE,0.015
Angiogenesis-PT-05-CTLCardinality-12,FALSE,0.027
Angiogenesis-PT-05-CTLCardinality-13,FALSE,0.013
Angiogenesis-PT-05-CTLCardinality-14,,
Angiogenesis-PT-05-CTLCardinality-15,FALSE,0.039
Angiogenesis-PT-05-CTLCardinality-1,TRUE,85.196
Angiogenesis-PT-05-CTLCardinality-2,TRUE,21260.7
Angiogenesis-PT-05-CTLCardinality-3,FALSE,368.794
Angiogenesis-PT-05-CTLCardinality-4,,
Angiogenesis-PT-05-CTLCardinality-5,,
Angiogenesis-PT-05-CTLCardinality-6,TRUE,12.223
Angiogenesis-PT-05-CTLCardinality-7,FALSE,43.849
Angiogenesis-PT-05-CTLCardinality-8,FALSE,215.812
Angiogenesis-PT-15-CTLCardinality-0,TRUE,607.594
Angiogenesis-PT-15-CTLCardinality-9,TRUE,82292.1
Angiogenesis-PT-15-CTLCardinality-10,FALSE,7.271
Angiogenesis-PT-15-CTLCardinality-11,TRUE,75168.7
Angiogenesis-PT-15-CTLCardinality-12,TRUE,3108.23
Angiogenesis-PT-15-CTLCardinality-13,,
Angiogenesis-PT-15-CTLCardinality-14,FALSE,75601
Angiogenesis-PT-15-CTLCardinality-15,FALSE,513.028
Angiogenesis-PT-15-CTLCardinality-1,TRUE,75421.3
Angiogenesis-PT-15-CTLCardinality-2,TRUE,7339.94
Angiogenesis-PT-15-CTLCardinality-3,TRUE,61163.3
Angiogenesis-PT-15-CTLCardinality-4,TRUE,75399.3
Angiogenesis-PT-15-CTLCardinality-5,TRUE,796.136
Angiogenesis-PT-15-CTLCardinality-6,,
Angiogenesis-PT-15-CTLCardinality-7,,
Angiogenesis-PT-15-CTLCardinality-8,FALSE,92610.7
Angiogenesis-PT-20-CTLCardinality-0,,
Angiogenesis-PT-20-CTLCardinality-9,FALSE,0.208
Angiogenesis-PT-20-CTLCardinality-10,,
Angiogenesis-PT-20-CTLCardinality-11,,
Angiogenesis-PT-20-CTLCardinality-12,,
Angiogenesis-PT-20-CTLCardinality-13,,
Angiogenesis-PT-20-CTLCardinality-14,,
Angiogenesis-PT-20-CTLCardinality-15,,
Angiogenesis-PT-20-CTLCardinality-1,TRUE,3297.84
Angiogenesis-PT-20-CTLCardinality-2,,
Angiogenesis-PT-20-CTLCardinality-3,,
Angiogenesis-PT-20-CTLCardinality-4,,
Angiogenesis-PT-20-CTLCardinality-5,,
Angiogenesis-PT-20-CTLCardinality-6,,
Angiogenesis-PT-20-CTLCardinality-7,TRUE,94.118
Angiogenesis-PT-20-CTLCardinality-8,FALSE,0.172
Angiogenesis-PT-25-CTLCardinality-0,,
Angiogenesis-PT-25-CTLCardinality-9,,
Angiogenesis-PT-25-CTLCardinality-10,FALSE,12045.6
Angiogenesis-PT-25-CTLCardinality-11,,
Angiogenesis-PT-25-CTLCardinality-12,TRUE,0.275
Angiogenesis-PT-25-CTLCardinality-13,,
Angiogenesis-PT-25-CTLCardinality-14,,
Angiogenesis-PT-25-CTLCardinality-15,,
